UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
414124,3,3,1,3,3,3,3,3,3,"R",208,"R",152,"R",56,"R",206,"R",150,"R",56,"R",158,"R",122,"R",36,"R",158,"R",122,"R",36,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
414823,1,2,1,2,3,3,2,1,3,"R",4320,"R",1416,"R",2877,"R",3794,"R",1220,"R",2555,"R",376,"R",146,"R",230,"R",299,"R",121,"R",178,"R",77,"R",25,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
414878,1,3,3,3,3,3,3,1,3,"R",29,"R",12,"R",17,"R",7,"R",2,"R",5,"R",1,"R",0,"R",1,"R",0,"A",,"R",0,"R",1,"A",,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417628,1,3,1,3,1,3,3,3,1,"R",22,"R",6,"R",16,"R",14,"R",4,"R",10,"R",13,"R",3,"R",10,"R",9,"R",1,"R",8,"R",4,"R",2,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417646,3,3,1,3,1,3,3,2,1,"R",13,"R",0,"R",13,"R",10,"A",,"R",10,"R",10,"A",,"R",10,"R",10,"A",,"R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417655,2,2,1,2,1,2,3,3,1,"R",26,"R",1,"R",25,"R",26,"R",1,"R",25,"R",21,"R",0,"R",21,"R",21,"A",,"R",21,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417682,3,3,3,3,1,3,3,3,1,"R",1,"R",0,"R",1,"R",1,"A",,"R",1,"R",1,"A",,"R",1,"R",1,"A",,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417716,3,3,3,3,3,3,3,3,1,"R",15,"R",2,"R",13,"R",8,"R",1,"R",7,"R",8,"R",1,"R",7,"R",8,"R",1,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417734,1,3,1,3,3,3,5,3,5,"R",30,"R",4,"R",26,"R",15,"R",2,"R",13,"R",15,"R",2,"R",13,"R",8,"R",0,"R",8,"R",7,"R",2,"R",5,"R",0,"R",0,"R",15,"R",100,"A",,"A",,"A",,"A",,"R",21,"R",23,"R",19,"R",24,"R",19,"R",24
417752,1,3,1,3,1,3,2,1,3,"R",4,"R",1,"R",3,"R",3,"R",1,"R",2,"R",3,"R",1,"R",2,"R",3,"R",1,"R",2,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
417868,1,3,1,3,1,3,3,3,1,"R",165,"R",27,"R",138,"R",46,"R",14,"R",32,"R",46,"R",14,"R",32,"R",33,"R",7,"R",26,"R",13,"R",7,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
