UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101675,05,"R",198,"R",95,"R",103,"R",0,"R",0,"R",188,"R",1,"R",0,"R",5,"R",1,"R",3,"R",0,"R",0,"R",139,"R",46,"R",13,"R",0
101693,03,"R",5,"R",2,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",1,"R",3,"R",1,"Z",0
101693,05,"R",278,"R",86,"R",192,"R",3,"R",2,"R",38,"R",2,"R",1,"R",149,"R",5,"R",71,"R",7,"R",0,"R",182,"R",78,"R",18,"R",0
101693,07,"R",57,"R",16,"R",41,"R",0,"R",0,"R",16,"R",2,"R",0,"R",33,"R",0,"R",2,"R",4,"R",0,"R",1,"R",40,"R",16,"Z",0
101709,05,"R",451,"R",154,"R",297,"R",1,"R",3,"R",62,"R",24,"R",0,"R",325,"R",14,"R",12,"R",10,"R",0,"R",383,"R",53,"R",7,"R",8
101709,07,"R",116,"R",23,"R",93,"R",0,"R",3,"R",18,"R",3,"R",0,"R",86,"R",1,"R",4,"R",1,"R",0,"R",34,"R",66,"R",14,"R",2
101709,10,"R",12,"R",3,"R",9,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",10,"Z",0,"R",1,"Z",0,"R",0,"R",0,"R",7,"R",5,"R",0
101736,02,"R",156,"R",52,"R",104,"R",3,"R",1,"R",16,"R",4,"R",1,"R",122,"R",1,"R",7,"R",1,"R",0,"R",100,"R",46,"R",10,"R",0
101736,03,"R",387,"R",143,"R",244,"R",5,"R",1,"R",40,"R",23,"R",2,"R",301,"R",0,"R",9,"R",6,"R",0,"R",247,"R",114,"R",26,"R",0
101736,11,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0
