UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101693,07,"R",31,"R",8,"R",23,"R",0,"R",1,"R",7,"R",0,"R",0,"R",21,"R",0,"R",1,"R",1,"R",0,"R",2,"R",21,"R",8,"R",0
101709,05,"R",508,"R",164,"R",344,"R",8,"R",2,"R",62,"R",17,"R",0,"R",371,"R",0,"R",43,"R",5,"R",0,"R",401,"R",92,"R",14,"R",1
101709,07,"R",150,"R",38,"R",112,"R",0,"R",1,"R",14,"R",1,"Z",0,"R",123,"Z",0,"R",8,"R",3,"R",0,"R",49,"R",85,"R",16,"R",0
101709,10,"R",20,"R",8,"R",12,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",16,"Z",0,"R",1,"Z",0,"R",0,"R",0,"R",15,"R",5,"R",0
101736,01,"R",204,"R",150,"R",54,"R",1,"R",0,"R",17,"R",8,"R",0,"R",174,"R",1,"R",2,"R",1,"R",11,"R",135,"R",41,"R",17,"R",0
101736,02,"R",94,"R",47,"R",47,"R",1,"R",0,"R",11,"R",3,"R",0,"R",77,"R",0,"R",2,"R",0,"R",0,"R",48,"R",31,"R",15,"R",0
101736,03,"R",510,"R",181,"R",329,"R",7,"R",1,"R",57,"R",25,"R",0,"R",411,"R",2,"R",6,"R",1,"R",1,"R",306,"R",158,"R",45,"R",0
101879,05,"R",1085,"R",421,"R",664,"R",13,"R",5,"R",120,"R",28,"R",0,"R",802,"R",26,"R",41,"R",50,"R",0,"R",770,"R",267,"R",48,"R",0
101879,07,"R",302,"R",103,"R",199,"R",5,"R",2,"R",28,"R",0,"R",0,"R",232,"R",1,"R",3,"R",31,"R",0,"R",26,"R",193,"R",83,"R",0
101879,10,"R",69,"R",23,"R",46,"R",1,"R",1,"R",6,"R",0,"R",0,"R",59,"R",0,"R",1,"R",1,"R",0,"R",18,"R",34,"R",17,"R",0
101897,01,"R",284,"R",194,"R",90,"R",7,"R",1,"R",2,"R",16,"R",0,"R",256,"R",2,"R",0,"R",0,"R",2,"R",144,"R",82,"R",56,"R",0
101897,02,"R",114,"R",73,"R",41,"R",5,"R",0,"R",6,"R",5,"R",0,"R",98,"R",0,"R",0,"R",0,"R",0,"R",40,"R",48,"R",26,"R",0
101897,03,"R",379,"R",141,"R",238,"R",15,"R",1,"R",9,"R",22,"R",0,"R",328,"R",1,"R",0,"R",3,"R",0,"R",238,"R",109,"R",32,"R",0
101912,03,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
101912,05,"R",357,"R",131,"R",226,"Z",0,"R",1,"R",316,"R",13,"Z",0,"R",1,"Z",0,"R",1,"R",25,"Z",0,"R",236,"R",89,"R",32,"Z",0
101912,07,"R",6,"R",6,"R",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0
101912,10,"R",19,"Z",0,"R",19,"Z",0,"Z",0,"R",8,"R",1,"Z",0,"R",8,"Z",0,"R",1,"R",1,"Z",0,"R",6,"R",12,"R",1,"Z",0
101949,01,"R",58,"R",48,"R",10,"R",1,"Z",0,"R",27,"R",1,"Z",0,"R",28,"Z",0,"R",1,"Z",0,"Z",0,"R",49,"R",5,"R",4,"Z",0
101949,02,"R",33,"Z",0,"R",33,"Z",0,"Z",0,"R",17,"Z",0,"Z",0,"R",16,"Z",0,"R",0,"Z",0,"Z",0,"R",16,"R",13,"R",4,"Z",0
101949,03,"R",198,"R",82,"R",116,"R",3,"Z",0,"R",59,"R",3,"Z",0,"R",131,"R",1,"R",1,"Z",0,"Z",0,"R",164,"R",23,"R",11,"Z",0
101994,01,"R",57,"R",32,"R",25,"R",1,"R",0,"R",23,"R",0,"R",0,"R",31,"R",1,"R",1,"R",0,"R",0,"R",27,"R",19,"R",11,"R",0
