UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
164076,1,2,1,2,2,2,1,1,3,"R",12747,"R",4662,"R",8085,"R",9854,"R",3501,"R",6353,"R",2741,"R",1034,"R",1707,"R",2735,"R",1032,"R",1703,"R",6,"R",2,"R",4,"R",2284,"R",83,"R",744,"R",27,"R",535,"R",610,"R",520,"R",600,"R",21,"R",25,"R",20,"R",25,"R",19,"R",25
164155,1,1,5,2,1,3,1,1,3,"R",16299,"R",12032,"R",4267,"R",1376,"R",996,"R",380,"R",1203,"R",878,"R",325,"R",1203,"R",878,"R",325,"A",,"A",,"A",,"R",830,"R",68,"R",901,"R",74,"R",560,"R",680,"R",590,"R",690,"A",,"A",,"R",25,"R",34,"R",26,"R",32
164173,1,2,1,3,1,3,1,1,3,"R",5533,"R",2312,"R",3221,"R",3368,"R",1267,"R",2101,"R",688,"R",266,"R",422,"R",688,"R",266,"R",422,"A",,"A",,"A",,"R",615,"R",89,"R",159,"R",23,"R",510,"R",600,"R",500,"R",590,"R",19,"R",24,"R",19,"R",24,"R",17,"R",24
164216,1,2,1,1,1,3,2,2,3,"R",4473,"R",1521,"R",2952,"R",2626,"R",972,"R",1654,"R",368,"R",143,"R",225,"R",368,"R",143,"R",225,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164270,1,2,1,1,1,3,1,1,3,"R",2814,"R",1476,"R",1338,"R",2392,"R",1116,"R",1276,"R",450,"R",232,"R",218,"R",450,"R",232,"R",218,"R",0,"R",0,"R",0,"R",289,"R",64,"R",132,"R",29,"R",540,"R",620,"R",520,"R",610,"R",21,"R",28,"A",,"A",,"A",,"A",
164368,1,5,1,3,1,3,3,1,5,"R",1671,"R",900,"R",771,"R",918,"R",475,"R",443,"R",167,"R",114,"R",53,"R",167,"R",114,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164447,1,3,1,2,2,3,5,1,3,"R",1988,"R",923,"R",1065,"R",1428,"R",633,"R",795,"R",381,"R",190,"R",191,"R",381,"R",190,"R",191,"R",0,"R",0,"R",0,"R",130,"R",34,"R",14,"R",4,"R",452,"R",550,"R",450,"R",540,"R",17,"R",22,"A",,"A",,"A",,"A",
164465,2,2,1,2,1,2,1,1,3,"R",9285,"R",4125,"R",5160,"R",1198,"R",601,"R",597,"R",471,"R",241,"R",230,"R",471,"R",241,"R",230,"A",,"A",,"A",,"R",157,"R",33,"R",317,"R",67,"R",700,"R",770,"R",700,"R",790,"R",32,"R",34,"R",33,"R",35,"R",29,"R",34
164492,1,2,1,2,1,2,3,1,3,"R",2089,"R",909,"R",1180,"R",1654,"R",667,"R",986,"R",272,"R",150,"R",122,"R",272,"R",150,"R",122,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
164535,3,3,1,3,1,3,3,3,3,"R",38,"R",7,"R",31,"R",10,"R",2,"R",8,"R",10,"R",1,"R",8,"R",10,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
